pick_mode,mom_wins,rebal_n,abs_thresh,ma_win,trail_stop,risk_adj,calmar,ann,mdd,sharpe,total,years,max_hold,dist
class,"(20, 60)",10,0.0,60,0.05,True,0.266809857261827,0.07342118225005545,0.2751816705857515,0.42784096691498114,0.376302413948574,4.508064516129032,1,5.533190142738173
all,"(20, 60)",10,0.0,60,0.05,True,0.26091926308698515,0.08770279572554407,0.3361300146563182,0.4514897726786261,0.46079925623418583,4.508064516129032,1,5.539080736913014
all,"(20, 60)",10,0.08,60,0.05,True,0.24277407140683527,0.08160365218015353,0.336130014656318,0.4339109222250361,0.4242341528293543,4.508064516129032,1,5.557225928593165
all,"(60,)",10,0.08,60,0.05,True,0.24027590234065588,0.06475952425025433,0.2695215109771609,0.3702038578570879,0.3269411774437716,4.508064516129032,1,5.559724097659344
class,"(10, 20, 60)",10,0.0,20,0.08,True,0.22331254334749653,0.07256508340962853,0.32494853321656025,0.4128514954509412,0.3713610120118198,4.508064516129032,1,5.576687456652503
class,"(60,)",10,0.0,20,0.05,True,0.21736237026251612,0.05258049554701927,0.24190247595991876,0.3628195456579624,0.25987776220476677,4.508064516129032,1,5.582637629737484
class,"(20, 60)",10,0.08,20,0.05,True,0.21714317893956545,0.051173444636396725,0.23566682999809607,0.34460845614777935,0.25230325000546805,4.508064516129032,1,5.582856821060434
class,"(10, 20, 60)",5,0.08,20,0.05,True,0.21178967339827143,0.06455509032788553,0.304807544636463,0.39662807202433764,0.3257930318555162,4.508064516129032,1,5.588210326601728
class,"(20, 60)",10,0.0,20,0.08,True,0.1960556627944557,0.06676937905405911,0.3405633793095789,0.3894873380476318,0.33827020814681896,4.508064516129032,1,5.603944337205544
class,"(10, 20, 60)",5,0.08,20,0.08,True,0.17306048041933272,0.04437230617675869,0.25639768287504316,0.3026183980108074,0.2161891395771609,4.508064516129032,1,5.6269395195806675
class,"(10, 20, 60)",5,0.08,60,0.08,True,0.16873998961374065,0.043264542345321955,0.25639768287504316,0.29797089970417245,0.21038450294229571,4.508064516129032,1,5.631260010386259
class,"(10, 20, 60)",10,0.0,60,0.08,True,0.16071794035566742,0.054734644883201566,0.3405633793095797,0.34215092319402585,0.271543114988539,4.508064516129032,1,5.639282059644333
class,"(20, 60)",10,0.08,60,0.05,True,0.1414966421034017,0.03271949235469829,0.23123864897647406,0.2584502043193517,0.15620127906943382,4.508064516129032,1,5.658503357896598
class,"(60,)",5,0.08,60,0.05,True,0.11635305954291514,0.03511826659819106,0.30182503783012427,0.2678041125920628,0.1683575343850119,4.508064516129032,1,5.683646940457085
class,"(60,)",10,0.08,20,0.05,True,0.09602071785948779,0.028441146063390876,0.2961980153596676,0.2436660686329731,0.13476443963639095,4.508064516129032,1,5.703979282140512
all,"(20, 60)",10,0.08,20,0.05,True,0.08485002418361669,0.028520639872428033,0.3361300146563182,0.2365904394576903,0.13515990512075904,4.508064516129032,1,5.7151499758163835
class,"(60,)",10,0.08,20,0.08,True,0.07574378222076678,0.02634830345180883,0.34786094223566355,0.22965558026142682,0.1243914804604278,4.508064516129032,1,5.724256217779233
class,"(60,)",10,0.08,60,0.08,True,0.06498743779810362,0.021963842462747296,0.33797058642290734,0.20914837942778297,0.10289960303710366,4.508064516129032,1,5.735012562201896
class,"(20, 60)",10,0.08,20,0.08,True,0.03670707589044005,0.010999420750886557,0.29965396273232525,0.1614604969100268,0.05055161371017225,4.508064516129032,1,5.763292924109559
class,"(60,)",5,0.0,20,0.05,True,0.03498816425201424,0.008185910992375423,0.23396228888756765,0.14417228825599995,0.03743611296297367,4.508064516129032,1,5.765011835747986
class,"(60,)",10,0.0,20,0.08,True,0.02758324028608189,0.009595131955829173,0.347860942235664,0.1527653119462222,0.04398933186534104,4.508064516129032,1,5.772416759713918
class,"(20, 60)",10,0.08,60,0.08,True,0.02021038051547037,0.006056120609788884,0.2996539627323259,0.1398276414085355,0.027592866636844793,4.508064516129032,1,5.7797896194845295
class,"(60,)",5,0.08,20,0.05,True,0.012905936449456224,0.003715579908407207,0.2878969629951772,0.1193968063170509,0.016859577884354993,4.508064516129032,1,5.787094063550543
class,"(60,)",10,0.08,60,0.05,True,-0.011026068168823882,-0.003113372993517216,0.2823647510470009,0.08423864813465001,-0.013958839491164166,4.508064516129032,1,5.8110260681688235
class,"(60,)",5,0.0,60,0.05,True,-0.03626207374613612,-0.015897424650269665,0.43840362692890955,0.04374869113172729,-0.0696946222654633,4.508064516129032,1,5.836262073746136
class,"(20, 60)",5,0.0,60,0.05,True,-0.037839149019831285,-0.014760881932911918,0.39009550466306264,0.07506423335615754,-0.06484128162932934,4.508064516129032,1,5.837839149019831
class,"(10, 20, 60)",10,0.08,20,0.08,True,-0.03958718180409002,-0.011862455901000546,0.2996539627323245,0.052714038465674865,-0.05237500513461746,4.508064516129032,1,5.83958718180409
class,"(10, 20, 60)",10,0.08,60,0.08,True,-0.03958718180409002,-0.011862455901000546,0.2996539627323245,0.052714038465674865,-0.05237500513461746,4.508064516129032,1,5.83958718180409
all,"(60,)",10,0.0,60,0.05,True,-0.04450195435698924,-0.021289027880702083,0.4783841111768733,0.04761725912532927,-0.09245182080918712,4.508064516129032,1,5.844501954356989
class,"(20, 60)",5,0.0,20,0.05,True,-0.04772944842646006,-0.017986469652161996,0.376842185383201,0.053224335257212735,-0.07856425974707004,4.508064516129032,1,5.84772944842646
class,"(60,)",10,0.0,60,0.05,True,-0.04795285343032871,-0.012933951821224254,0.26972225625772517,0.040893654488587325,-0.05699853520156062,4.508064516129032,1,5.8479528534303284
class,"(20, 60)",5,0.08,60,0.05,True,-0.0597206350399736,-0.024938021643728603,0.4175779716179593,0.020651756993682435,-0.10760619135214244,4.508064516129032,1,5.859720635039974
all,"(20, 60)",10,0.0,20,0.05,True,-0.07725068830424188,-0.03708273972803,0.48003118861523164,-0.02603176345220517,-0.15663024019798888,4.508064516129032,1,5.877250688304242
class,"(20, 60)",5,0.0,20,0.08,True,-0.08132052288015339,-0.03706034242276601,0.45573172810735507,-0.006004770103881377,-0.15654180347046265,4.508064516129032,1,5.881320522880153
all,"(10, 20, 60)",10,0.0,60,0.08,True,-0.10851027989245648,-0.05931304316364494,0.5466122032164099,-0.0523340196066624,-0.24091764162766727,4.508064516129032,1,5.9085102798924565
class,"(20, 60)",5,0.08,20,0.08,True,-0.11101806264002108,-0.04824769277589758,0.4345931790607981,-0.06488917149682122,-0.19982582952665262,4.508064516129032,1,5.911018062640021
class,"(60,)",10,0.0,60,0.08,True,-0.11163958344635312,-0.033023488415595104,0.295804475403333,-0.03962568002593694,-0.14048383531092878,4.508064516129032,1,5.911639583446353
class,"(20, 60)",5,0.08,60,0.08,True,-0.1269742026466669,-0.05740233071113965,0.452078686179066,-0.09502462717995334,-0.2339421247422181,4.508064516129032,1,5.926974202646667
class,"(20, 60)",5,0.08,20,0.05,True,-0.1321914565714178,-0.053527209229407124,0.40492185060755803,-0.11632710263922863,-0.21964193384104735,4.508064516129032,1,5.9321914565714176
