mom_wins,top_k,rebal_n,abs_thresh,ma_win,trail_stop,start,end,calmar,ann,mdd,sharpe,total,years,dist
"(60, 120)",1,20,0.0,60,0.08,2024-12-01,2026-01-31,2.4913210820337066,0.2943603226104845,0.11815430966858487,1.1551951021521871,0.35171190163692856,1.1680327868852458,3.308678917966293
"(60, 120)",1,20,0.03,20,0.08,2024-12-01,2026-01-31,2.4913210820337066,0.2943603226104845,0.11815430966858487,1.1551951021521871,0.35171190163692856,1.1680327868852458,3.308678917966293
"(60, 120)",1,20,0.03,60,0.08,2024-12-01,2026-01-31,2.4913210820337066,0.2943603226104845,0.11815430966858487,1.1551951021521871,0.35171190163692856,1.1680327868852458,3.308678917966293
"(60, 120)",1,20,0.0,20,0.1,2024-12-01,2026-01-31,2.4441651886298814,0.2831192612618294,0.11583474905005775,1.1312992908382444,0.338010230761953,1.1680327868852458,3.3558348113701184
"(60, 120)",1,20,0.0,60,0.1,2024-12-01,2026-01-31,2.4441651886298814,0.2831192612618294,0.11583474905005775,1.1312992908382444,0.338010230761953,1.1680327868852458,3.3558348113701184
"(60, 120)",1,20,0.03,20,0.1,2024-12-01,2026-01-31,2.4441651886298814,0.2831192612618294,0.11583474905005775,1.1312992908382444,0.338010230761953,1.1680327868852458,3.3558348113701184
"(60, 120)",1,20,0.03,60,0.1,2024-12-01,2026-01-31,2.4441651886298814,0.2831192612618294,0.11583474905005775,1.1312992908382444,0.338010230761953,1.1680327868852458,3.3558348113701184
"(60, 120)",1,10,0.0,20,0.08,2025-01-01,2025-12-31,2.443789573802948,0.3606590618859955,0.14758188092469404,1.3590383313446326,0.3589427638302478,0.9959016393442623,3.356210426197052
"(60, 120)",1,10,0.0,60,0.08,2025-01-01,2025-12-31,2.443789573802948,0.3606590618859955,0.14758188092469404,1.3590383313446326,0.3589427638302478,0.9959016393442623,3.356210426197052
"(60, 120)",1,10,0.03,20,0.08,2025-01-01,2025-12-31,2.443789573802948,0.3606590618859955,0.14758188092469404,1.3590383313446326,0.3589427638302478,0.9959016393442623,3.356210426197052
"(60, 120)",1,10,0.03,60,0.08,2025-01-01,2025-12-31,2.443789573802948,0.3606590618859955,0.14758188092469404,1.3590383313446326,0.3589427638302478,0.9959016393442623,3.356210426197052
"(60, 120)",1,20,0.0,60,0.1,2024-10-01,2025-12-31,2.4305340211495143,0.3441458102974424,0.14159267358647365,1.2506703014722245,0.44554480993070444,1.2459016393442623,3.3694659788504855
"(60, 120)",1,20,0.03,60,0.1,2024-10-01,2025-12-31,2.4305340211495143,0.3441458102974424,0.14159267358647365,1.2506703014722245,0.44554480993070444,1.2459016393442623,3.3694659788504855
"(60, 120)",1,10,0.0,60,0.1,2025-01-01,2025-12-31,2.404718908556847,0.44784885773441574,0.18623750831783703,1.4288970276005861,0.445654545488678,0.9959016393442623,3.395281091443153
"(60, 120)",1,10,0.03,60,0.1,2025-01-01,2025-12-31,2.404718908556847,0.44784885773441574,0.18623750831783703,1.4288970276005861,0.445654545488678,0.9959016393442623,3.395281091443153
"(60, 120)",1,20,0.0,60,0.08,2024-10-01,2026-01-31,2.378615648837471,0.33679454915352225,0.14159267358647365,1.2125923984537157,0.47027083830270433,1.3278688524590163,3.421384351162529
"(60, 120)",1,20,0.03,60,0.08,2024-10-01,2026-01-31,2.378615648837471,0.33679454915352225,0.14159267358647365,1.2125923984537157,0.47027083830270433,1.3278688524590163,3.421384351162529
"(60, 120)",1,10,0.0,60,0.08,2024-10-01,2026-01-31,2.3680441148539555,0.4131825176005701,0.17448260993484588,1.3435372673535626,0.5828639426316018,1.3278688524590163,3.4319558851460443
"(60, 120)",1,10,0.03,60,0.08,2024-10-01,2026-01-31,2.3680441148539555,0.4131825176005701,0.17448260993484588,1.3435372673535626,0.5828639426316018,1.3278688524590163,3.4319558851460443
"(60, 120)",1,10,0.0,60,0.08,2024-12-01,2026-01-31,2.3261281562156992,0.3247548514019536,0.13961176237610506,1.174379058288134,0.38885942451732247,1.1680327868852458,3.4738718437843006
"(60, 120)",1,10,0.0,60,0.1,2024-12-01,2026-01-31,2.3261281562156992,0.3247548514019536,0.13961176237610506,1.174379058288134,0.38885942451732247,1.1680327868852458,3.4738718437843006
"(60, 120)",1,10,0.03,60,0.08,2024-12-01,2026-01-31,2.3261281562156992,0.3247548514019536,0.13961176237610506,1.174379058288134,0.38885942451732247,1.1680327868852458,3.4738718437843006
"(60, 120)",1,10,0.03,60,0.1,2024-12-01,2026-01-31,2.3261281562156992,0.3247548514019536,0.13961176237610506,1.174379058288134,0.38885942451732247,1.1680327868852458,3.4738718437843006
